Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:18460000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
18460000;1;17/04/2025;01/01/1900 12:00;17;"797,0";"6560,0";"6557,5";"761,9";"1,0";"8,61";Erivelton/Milton/Edson;4
18460000;1;30/10/2024;01/01/1900 08:35;16;"337,0";"644,0";"3293,1";"722,7";"0,196";"4,56";Marcos/ Silvio/ Joaquim;4
18460000;1;29/10/2024;01/01/1900 11:15;15;"334,0";"606,0";"3259,7";"722,9";"0,186";"4,51";Marcos/ Silvio/ Joaquim;4
18460000;1;09/07/2024;01/01/1900 11:00;14;"378,0";"1000,831";"3466,636";"741,285";"0,289";"4,68";"Ronis, Kleiton, Joaquim";16
18460000;1;18/05/2024;01/01/1900 07:08;13;"583,0";"3630,0";"4989,6";"747,6";"0,728";"6,67";"Bruna, Ronis e Joaquim";4
18460000;1;07/03/2024;01/01/1900 15:36;12;"701,0";"5060,0";"5860,4";"761,3";"0,864";"7,7";"Marcos, Joaquim";4
18460000;2;24/10/2023;01/01/1900 10:47;11;"356,0";"809,0";"3420,0";"737,0";"0,237";"4,64";Paulo/Marcos/Breno;4
18460000;1;24/10/2023;01/01/1900 10:47;11;"356,0";"809,0";"3417,2";"736,8";"0,237";"4,64";Paulo/Marcos/Breno;4
18460000;1;21/07/2023;01/01/1900 12:50;10;"396,0";"1379,15";"3666,32";"705,3";"0,36";"4,93";Marcos/Silvio/Breno;4
18460000;1;15/02/2023;01/01/1900 09:50;9;"694,0";"569,0";"6345,9";"748,8";"0,896";"8,47";Marcos/Silvio/Benjamin;4
18460000;2;05/12/2022;01/01/1900 09:50;8;"460,0";"1770,0";"4210,0";"725,0";"0,42";"5,81";Paulo/Erivelton/Mauro Ney;4
18460000;1;05/12/2022;01/01/1900 09:50;8;"460,0";"1770,0";"4208,9";"724,6";"0,42";"5,81";Paulo/Erivelton/Mauro Ney;4
18460000;2;25/10/2022;01/01/1900 16:20;7;"351,0";"758,0";"3420,0";"732,0";"0,222";"4,67";Alan/Alex/Silvio;4
18460000;1;25/10/2022;01/01/1900 16:20;7;"351,0";"758,0";"3422,2";"732,3";"0,222";"4,67";Alan/Alex/Silvio;4
18460000;2;02/05/2022;01/01/1900 16:30;6;"718,0";"4780,0";"5180,0";"601,0";"0,921";"8,62";Kleiton/Joaquim/Benjamin;4
18460000;1;02/05/2022;01/01/1900 16:30;6;"718,0";"4780,0";"5182,8";"601,2";"0,921";"8,62";Kleiton/Joaquim/Benjamin;4
18460000;2;13/11/2021;01/01/1900 15:30;5;"406,0";"1340,0";"3750,0";"741,0";"0,356";"5,06";Alan/Alex/Erivelton;4
18460000;1;13/11/2021;01/01/1900 15:30;5;"406,0";"1340,0";"3752,2";"741,0";"0,356";"5,06";Alan/Alex/Erivelton;4
18460000;2;16/06/2021;01/01/1900 13:30;4;"439,0";"1730,0";"3900,0";"744,0";"0,444";"5,24";Erivelton/Alex/Silvio;4
18460000;1;16/06/2021;01/01/1900 13:30;4;"439,0";"1730,0";"3896,6";"743,6";"0,444";"5,24";Erivelton/Alex/Silvio;4
