Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:18460000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
18460000;2;01/12/2023;;1;1;"1055,4329";"866,882";"972,2052";30;1;1;1;1;;;"866,882";"877,1917";"877,1917";"877,1917";"877,1917";"866,882";"877,1917";"918,6315";"949,9179";"960,3853";"1002,4439";"1002,4439";"981,377";"981,377";"1002,4439";"1002,4439";"1013,0052";"1002,4439";"981,377";"970,8717";"970,8717";"991,9011";"991,9011";"1013,0052";"1023,5848";"1034,1827";"1034,1827";"1034,1827";"1044,7987";"1055,4329";"1055,4329";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18460000;2;01/11/2023;;1;1;"897,8718";"754,858";"819,9476";24;8;1;1;1;;;"795,2939";"795,2939";"775,032";"775,032";"775,032";"764,9339";"764,9339";"754,858";"764,9339";"785,152";"805,4573";"795,2939";"775,032";"775,032";"785,152";"795,2939";"805,4573";"825,8483";"836,0755";"846,3238";"877,1917";"887,5217";"877,1917";"897,8718";"887,5217";"877,1917";"887,5217";"877,1917";"866,882";"866,882";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
18460000;2;01/10/2023;;1;1;"815,6422";"694,8794";"742,3816";25;16;2;2;2;;;"734,7734";"734,7734";"734,7734";"724,7653";"714,78";"714,78";"724,7653";"724,7653";"714,78";"724,7653";"724,7653";"714,78";"714,78";"704,818";"704,818";"694,8794";"694,8794";"694,8794";"704,818";"734,7734";"744,8044";"754,858";"754,858";"795,2939";"815,6422";"795,2939";"795,2939";"795,2939";"815,6422";"815,6422";"795,2939";1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18460000;2;01/09/2023;;1;1;"836,0755";"754,858";"803,1362";3;26;1;1;1;;;"825,8483";"815,6422";"836,0755";"836,0755";"825,8483";"815,6422";"815,6422";"815,6422";"825,8483";"825,8483";"815,6422";"815,6422";"805,4573";"805,4573";"805,4573";"805,4573";"805,4573";"815,6422";"815,6422";"805,4573";"795,2939";"795,2939";"785,152";"775,032";"764,9339";"754,858";"754,858";"785,152";"785,152";"764,9339";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
18460000;2;01/08/2023;;1;1;"1055,4329";"815,6422";"912,4577";1;29;1;1;1;;;"1055,4329";"1044,7987";"1034,1827";"1023,5848";"1013,0052";"1002,4439";"991,9011";"981,377";"970,8717";"970,8717";"949,9179";"939,4697";"929,0409";"918,6315";"908,2418";"897,8718";"887,5217";"877,1917";"866,882";"866,882";"856,5926";"846,3238";"846,3238";"836,0755";"836,0755";"825,8483";"825,8483";"825,8483";"815,6422";"815,6422";"825,8483";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18460000;2;01/07/2023;;1;1;"1596,4137";"1066,0847";"1295,6385";1;31;1;1;1;;;"1596,4137";"1573,6351";"1539,5698";"1516,9292";"1494,3448";"1471,8171";"1449,3468";"1426,9344";"1404,5806";"1382,2858";"1360,0508";"1348,9556";"1337,8762";"1315,7627";"1304,7289";"1282,7083";"1271,7218";"1249,7958";"1227,9333";"1217,0265";"1195,2617";"1184,4039";"1162,7382";"1151,9304";"1141,1395";"1119,6089";"1108,8693";"1098,1467";"1087,4418";"1076,7544";"1066,0847";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18460000;2;01/06/2023;;1;1;"3111,827";"1630,6831";"2227,014";1;30;2;2;2;;;"3111,827";"3035,5164";"2946,89";"2871,2761";"2795,993";"2708,5876";"2634,0408";"2547,5122";"2473,7322";"2424,748";"2375,9282";"2327,275";"2278,7905";"2218,426";"2182,3384";"2122,4124";"2074,6738";"2038,989";"2003,4086";"1956,1312";"1920,7972";"1885,5719";"1838,7745";"1815,4498";"1780,5562";"1745,7759";"1722,6532";"1688,0663";"1653,5966";"1630,6831";;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
18460000;2;01/05/2023;;1;1;"6065,6777";"3201,2512";"4602,4795";1;31;1;1;1;;;"6065,6777";"6008,7456";"5909,33";"5796,0537";"5683,1445";"5584,6543";"5486,4536";"5402,5137";"5304,8574";"5193,6167";"5096,605";"4958,551";"4862,291";"4752,6685";"4643,466";"4534,689";"4439,8647";"4372,339";"4304,986";"4224,394";"4144,058";"4037,346";"3931,1013";"3825,3337";"3693,8079";"3615,2637";"3523,9868";"3446,062";"3355,52";"3278,234";"3201,2512";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18460000;2;01/04/2023;;1;1;"8344,466";"6151,2437";"7187,783";1;30;2;2;2;;;"8344,466";"8197,642";"8051,96";"7845,8286";"7682,6123";"7561,186";"7480,707";"7400,605";"7301,0107";"7241,5356";"7202,006";"7142,886";"7103,5933";"7046,745";"7017,5454";"7017,5454";"7083,9814";"7142,886";"7221,76";"7202,006";"7142,886";"7103,5933";"7032,1426";"6959,208";"6857,3135";"6741,171";"6610,9077";"6437,888";"6308,629";"6151,2437";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;
18460000;2;01/03/2023;;1;1;"8450,039";"5152,003";"6471,809";29;7;1;1;1;;;"5528,504";"5486,4536";"5430,4697";"5360,6245";"5277,0103";"5221,39";"5152,003";"5165,868";"5193,6167";"5277,0103";"5374,5815";"5486,4536";"5612,765";"5739,5527";"5796,0537";"5866,809";"6051,436";"6322,969";"6567,5815";"6741,171";"6930,0703";"7202,006";"7541,0327";"7866,337";"8135,067";"8260,426";"8386,626";"8428,877";"8450,039";"8407,741";"8365,534";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
